number,title,state,created_at,closed_at,author,url,ai_summary
1486,[BUG] View intermittently jumps to top of terminal when reviewing code edits while scrolled up,open,"Jun 01, 2025",,Cheffromspace,https://github.com/anthropics/claude-code/issues/1486,Claude Code's edit panel view randomly jumps to terminal top while scrolling through code changes.
1495,[BUG] rendering glitching on refreshing - suspected TMUX or multiple rapid resolution changes and Claude Code TUI rendering  not updating resolution properly,open,"Jun 02, 2025",,gwpl,https://github.com/anthropics/claude-code/issues/1495,"Claude CLI rendering glitches when refreshing output in TMUX, possibly due to rapid resolution changes not updating properly."
1509,[BUG] Claude code spitting out random characters in user input area while running,open,"Jun 02, 2025",,somasays,https://github.com/anthropics/claude-code/issues/1509,Claude CLI outputs random characters to user input area during code execution on macOS.
1547,[BUG] IME input causes performance issues and duplicate conversion candidates,open,"Jun 04, 2025",,fumiya-kume,https://github.com/anthropics/claude-code/issues/1547,Japanese IME input causes performance degradation and displays duplicate conversion candidates in Claude CLI.
1554,[BUG] Hanging / Freezing in the middle of work - CPU sample attached,open,"Jun 04, 2025",,guidedways,https://github.com/anthropics/claude-code/issues/1554,Claude CLI freezes indefinitely during work after version 1.0.9 update on macOS.
1599,[BUG] Claude clobbers correct typographic marks and can't be told otherwise,open,"Jun 04, 2025",,aardvarkk,https://github.com/anthropics/claude-code/issues/1599,Claude replaces correct typographic marks with incorrect ones in file edits and ignores requests to preserve original formatting.
1669,[BUG] Claude Code frequently loses track of which directory it is in,open,"Jun 05, 2025",,lukehutch,https://github.com/anthropics/claude-code/issues/1669,"Claude Code loses track of current directory, causing failed commands and dangerous operations like git resets in wrong locations."
1716,[BUG] UTF-8 Corruption Bug,open,"Jun 06, 2025",,sumlin,https://github.com/anthropics/claude-code/issues/1716,UTF-8 corruption in Claude Code Write tool causes data loss with non-English characters.
1757,[BUG] Claude code requires users to constantly login,open,"Jun 07, 2025",,scrapebros,https://github.com/anthropics/claude-code/issues/1757,"Claude Code requires excessive daily re-authentication, causing frequent login prompts despite recent successful authentication."
1758,Support shift+enter in most terminals,open,"Jun 07, 2025",,net,https://github.com/anthropics/claude-code/issues/1758,Add support for Shift+Enter key binding using the kitty keyboard protocol across multiple terminals.
1770,[Feature Request] Enable Parent-Child Agent Communication and Monitoring in Task Tool,open,"Jun 07, 2025",,steveant,https://github.com/anthropics/claude-code/issues/1770,User requests parent-child agent communication and monitoring capabilities in the task tool for orchestrating multi-agent workflows.
1772,[BUG] ignores # prefix instructions for CLAUDE.md updates,open,"Jun 07, 2025",,raphaelweber,https://github.com/anthropics/claude-code/issues/1772,Claude CLI ignores # prefix directives for automatic CLAUDE.md file updates without explicit user reminders.
1785,[Feature Request] Support for MCP Sampling to leverage Claude Max subscriptions and reduce API costs,open,"Jun 08, 2025",,mateuszmazurek,https://github.com/anthropics/claude-code/issues/1785,Request MCP sampling support in Claude Code to enable cost-effective LLM inference through Claude Max subscriptions instead of direct API calls.
1853,Claude text editor in terminal back space doesnt work sometimes,open,"Jun 09, 2025",,spirefyio,https://github.com/anthropics/claude-code/issues/1853,Backspace key frequently stops working after a few presses in terminal text editor; DEL key works as workaround.
1886,Make `/status` and/or login account checkable from command line,open,"Jun 10, 2025",,joshuaballoch,https://github.com/anthropics/claude-code/issues/1886,User wants CLI flag to check login status and account details without starting interactive session.
1913,Terminal Flickering,open,"Jun 10, 2025",,PierrunoYT,https://github.com/anthropics/claude-code/issues/1913,Terminal display flickers intermittently during normal operation.
1935,"[BUG] MCP servers not properly terminated when Claude Code exits, causing orphaned processes",open,"Jun 11, 2025",,noomz,https://github.com/anthropics/claude-code/issues/1935,"Claude Code fails to terminate MCP server processes on exit, leaving orphaned processes consuming system resources."
2012,File Reference Autocomplete Broken in Claude Code Extension,open,"Jun 12, 2025",,serbotec,https://github.com/anthropics/claude-code/issues/2012,File reference autocomplete with @ symbol not functioning in Claude Code VS Code extension.
2038,[BUG] Error loop between 'context low' and '/compact',open,"Jun 13, 2025",,zxdxjtu,https://github.com/anthropics/claude-code/issues/2038,"User gets stuck in error loop where `/compact` command fails with ""conversation too long"" error when context is low."
2054,Insert a new line with Enter key instead of sending a message,open,"Jun 13, 2025",,tmokmss,https://github.com/anthropics/claude-code/issues/2054,"User requests option to bind Enter key for newlines instead of sending messages, particularly for CJK language input."
2102,Clipboard Image Parsing Failure on macOS Screenshot Utility,open,"Jun 15, 2025",,BobbyWang0120,https://github.com/anthropics/claude-code/issues/2102,macOS clipboard image pasting fails ~90% of the time with native screenshot utility copied images.
2104,Image Upload Exceeds 5 MB Size Limit in API Request,open,"Jun 15, 2025",,NerdNestFelix,https://github.com/anthropics/claude-code/issues/2104,Image uploads fail when exceeding 5 MB size limit; API rejects base64-encoded images over threshold.
2111,[BUG] Output blocked by content filtering policy,open,"Jun 15, 2025",,amarkulo,https://github.com/anthropics/claude-code/issues/2111,"Claude Code 1.0.24 blocked geolocation IP-to-location conversion implementation, stopping mid-task without completing Laravel service code."
2118,[BUG] Semi-infinite scrolling in terminal,open,"Jun 15, 2025",,GratefulDave,https://github.com/anthropics/claude-code/issues/2118,Terminal infinitely scrolls when plan is enabled; crashes or stabilizes unpredictably after user confirmation.
2142,[BUG] Claude Code repeatedly ignores CLAUDE.md security guidelines and exposes API keys to version control,open,"Jun 16, 2025",,r0bug,https://github.com/anthropics/claude-code/issues/2142,"Claude Code ignores CLAUDE.md security guidelines, repeatedly exposing API keys to version control despite explicit warnings."
2182,[BUG] Host Header is overriden with Base URL,open,"Jun 17, 2025",,czgu,https://github.com/anthropics/claude-code/issues/2182,Host header from ANTHROPIC_CUSTOM_HEADERS is incorrectly overridden by ANTHROPIC_BEDROCK_BASE_URL value.
2254,Disable the welcome banner,open,"Jun 18, 2025",,moltar,https://github.com/anthropics/claude-code/issues/2254,User requests option to disable welcome banner and tips screen that appears repeatedly.
2266,"Feature Request: Terminal Graphics Protocol Support (Sixel, Kitty, iTerm2)",open,"Jun 18, 2025",,gwpl,https://github.com/anthropics/claude-code/issues/2266,"Feature request: Add terminal graphics protocol support (Sixel, Kitty, iTerm2) for displaying charts, plots, and diagrams in Claude Code."
2301,"[BUG] Can't inspect previously generated content. Key up, key down and mouse scroll are not working.",open,"Jun 19, 2025",,heyagent,https://github.com/anthropics/claude-code/issues/2301,"Terminal input navigation controls interfere with content scrolling in Claude CLI, preventing inspection of previously generated output."
2304,[FEATURE REQUEST]: Enable configuration of Auto-Compaction,open,"Jun 19, 2025",,aviramkofman,https://github.com/anthropics/claude-code/issues/2304,User requests ability to configure auto-compaction threshold to maintain lower context percentage for better coding performance.
2350,Follow XDG Base Directory specification properly - move runtime/cache files out of $XDG_CONFIG_HOME,open,"Jun 20, 2025",,choplin,https://github.com/anthropics/claude-code/issues/2350,Move Claude's runtime and cache files from $XDG_CONFIG_HOME to proper XDG directories per specification.
2441,[FRE] Add timestamp to each message,open,"Jun 22, 2025",,MarcinOrlowski,https://github.com/anthropics/claude-code/issues/2441,User requests adding timestamps to each message in conversations to better track interactions across multiple sessions.
2475,VSCode extension: hotkeys for navigation,open,"Jun 23, 2025",,jeffomatic,https://github.com/anthropics/claude-code/issues/2475,Request for keyboard shortcuts to switch between VSCode text editor and Claude Code extension terminal without closing sessions.
2479,Avoid clearing the terminal scrollback,open,"Jun 23, 2025",,frangio,https://github.com/anthropics/claude-code/issues/2479,"Claude Code unintentionally clears terminal scrollback during resize, /clear command, and transcript switching; should use alternate screen instead."
2511,Feature request: Connect Claude code to Claude projects ,open,"Jun 24, 2025",,salimmallick,https://github.com/anthropics/claude-code/issues/2511,User requests integrating Claude Code with Claude.ai Projects to access knowledge bases within coding workflows.
2544,[BUG] CLAUDE.md Mandatory Rules Consistently Ignored Across Multiple Repositories,open,"Jun 24, 2025",,SDS-Mike,https://github.com/anthropics/claude-code/issues/2544,"Claude Code ignores CLAUDE.md mandatory rules across repositories, breaking project-specific development workflows."
2562,Need session/conversation deletion and management tools,open,"Jun 25, 2025",,Letiliel,https://github.com/anthropics/claude-code/issues/2562,"User requests session/conversation deletion and management tools, including delete command and visual manager interface."
2588,Incorrect Enter Key Behavior in VIM Insert Mode for Prompt Submission,open,"Jun 25, 2025",,frantisekstanko,https://github.com/anthropics/claude-code/issues/2588,VIM insert mode Enter key submits prompt instead of creating newline; should require exiting insert mode.
2603,Feature Request: 1 Hour Cache Support?,open,"Jun 26, 2025",,silver-ben,https://github.com/anthropics/claude-code/issues/2603,User requests configurable 1-hour cache option instead of apparent 5-minute default for Claude Code.
2614,[BUG] Unable to gain context from video files,open,"Jun 26, 2025",,nsrCodes,https://github.com/anthropics/claude-code/issues/2614,Claude cannot process video files despite being multimodal; users expect video support but encounter errors when attempting it.
2682,"[BUG] ""MCP Tools Not Available in Conversation Interface Despite Successful Connection""",open,"Jun 28, 2025",,didierphmartin,https://github.com/anthropics/claude-code/issues/2682,MCP tools successfully connect and list but don't appear in Claude Desktop conversation interface for use.
2719,Wildcard Permission Matching Failure for Curl Commands in Claude Code,open,"Jun 29, 2025",,fwends,https://github.com/anthropics/claude-code/issues/2719,"Wildcard permission patterns for curl commands are not being recognized properly in Claude Code's permission system, causing intermittent blocking."
2799,[Feature Request]: Add support for MCP Elicitation,open,"Jul 01, 2025",,jzumwalt,https://github.com/anthropics/claude-code/issues/2799,Request to add Model Context Protocol Elicitation support enabling MCP servers to request additional user information during interactions.
2805,[BUG] Claude Code consistently creates files with Windows line endings on Linux systems,open,"Jul 01, 2025",,pm0code,https://github.com/anthropics/claude-code/issues/2805,"Claude Code creates files with Windows CRLF line endings on Linux systems, causing script execution failures."
2810,[BUG] Claude Code Configuration File Corruption,open,"Jul 01, 2025",,pm0code,https://github.com/anthropics/claude-code/issues/2810,Claude Code crashes repeatedly due to corrupted configuration files requiring manual intervention to resolve.
2824,False positive warning about PATH installation when using shell alias,open,"Jul 01, 2025",,mattlbrr,https://github.com/anthropics/claude-code/issues/2824,Claude Code incorrectly warns about PATH installation issues when using properly configured shell aliases.
2841,Cannot work with git worktrees due to directory restriction,open,"Jul 02, 2025",,aewing,https://github.com/anthropics/claude-code/issues/2841,"Claude Code blocks access to git worktree directories outside the main repository for security reasons, preventing common development workflows."
2933,VS Code Extension Ignores Global dangerously-skip-permissions Setting,open,"Jul 03, 2025",,fwends,https://github.com/anthropics/claude-code/issues/2933,"VS Code extension ignores global dangerously-skip-permissions setting, causing repeated permission prompts."
2939,Image Upload Exceeds Size Limit Causing Persistent API Request Failure,open,"Jul 03, 2025",,alessandrobologna,https://github.com/anthropics/claude-code/issues/2939,"Large image upload pollutes API context, causing all subsequent requests to fail with dimension exceeded error."
2950,Imports or CLAUDE.local.md?,open,"Jul 03, 2025",,mculp,https://github.com/anthropics/claude-code/issues/2950,User asks for clearer documentation on replacing deprecated `CLAUDE.local.md` with imports in Claude Code memory system.
2958,"[BUG] Claude code unusable on MacOS, can't run any bash command",open,"Jul 03, 2025",,svallory,https://github.com/anthropics/claude-code/issues/2958,Claude code fails to execute bash commands on macOS across all versions and shells.
2990,Automatic light/dark theme selection?,open,"Jul 04, 2025",,djsavvy,https://github.com/anthropics/claude-code/issues/2990,Request: Auto-switch Claude Code theme between light and dark modes based on system theme setting.
3108,Running Claude Code with Deno or Bun rather than Node?,open,"Jul 07, 2025",,twardoch,https://github.com/anthropics/claude-code/issues/3108,User asking which JavaScript engine Claude Code uses and seeking experiences with alternative engines like Deno or Bun instead of Node.
3117,claude code corrupts ~/.claude.json on mac while running 5 concurrent sessions,open,"Jul 07, 2025",,qfennessy,https://github.com/anthropics/claude-code/issues/3117,Claude corrupts ~/.claude.json configuration file when running five concurrent sessions on macOS.
3134,[BUG] Terminal Paste Corruption from Bracketed Paste Mode,open,"Jul 08, 2025",,jason-riddle,https://github.com/anthropics/claude-code/issues/3134,"Bracketed paste mode left enabled after Claude Code exits, corrupting terminal paste with `00~` and `01~` escape sequences."
3138,[BUG] resume flag fails to maintain conversation context after hitting usage/context limits,open,"Jul 08, 2025",,jamiejsmith96,https://github.com/anthropics/claude-code/issues/3138,Resume flag loses all conversation context when session ends due to usage/context limits.
3172,Bug: claude command not found after npm install -g on macOS with   Homebrew due to incorrect symlink,open,"Jul 08, 2025",,Jiacheng-Liu,https://github.com/anthropics/claude-code/issues/3172,"Global npm installation on macOS Homebrew creates incorrect symlink, making claude command unavailable in PATH."
3273,[BUG] Claude Code does not work with MCP servers that does not implement Dynamic Client Registration,open,"Jul 10, 2025",,dhawalkp,https://github.com/anthropics/claude-code/issues/3273,"Claude Code fails to connect to MCP servers lacking Dynamic Client Registration support, breaking compatibility with resource-server-only architectures."
3301,[BUG] Environment Contributions warning continuously reappears,open,"Jul 10, 2025",,pattobrien,https://github.com/anthropics/claude-code/issues/3301,"Environment contribution warning repeatedly appears on IDE startup, requiring constant terminal restarts unlike other extensions."
3381,"Windows VS Code extension crashes Claude Code with ""Error: cannot open _claude_fs_right:<file>. Detail: Unable to resolve filesystem provider with relative file path '_claude_fs_right:<file>'""",open,"Jul 12, 2025",,psandler,https://github.com/anthropics/claude-code/issues/3381,"Claude Code's Windows filesystem provider crashes when editing files, unable to resolve relative paths with malformed URI encoding."
3412,Allow viewing and editing content of “pasted text” blocks before submission,open,"Jul 12, 2025",,lbguilherme,https://github.com/anthropics/claude-code/issues/3412,Allow previewing and editing pasted text blocks before submission for better accessibility with dictation software.
3426,[BUG] Claude Code fails to expose MCP tools to AI sessions when running a local Playwright MCP server,open,"Jul 13, 2025",,FlavorFlav25,https://github.com/anthropics/claude-code/issues/3426,Claude Code 1.0.43 fails to expose MCP tools to AI sessions when running local Playwright MCP server.
3433,Claude Code cannot connect to GitHub's remote MCP server using OAuth authentication,open,"Jul 13, 2025",,pablospe,https://github.com/anthropics/claude-code/issues/3433,Claude Code fails to authenticate with GitHub's remote MCP server via OAuth despite working in VS Code.
3471,[BUG] Too many edit file errors,open,"Jul 14, 2025",,junaid1460,https://github.com/anthropics/claude-code/issues/3471,"Claude frequently makes file editing errors in long conversations, then abandons fixes and claims success despite build failures."
3473,Feature Request: Ability to change working directory during Claude session,open,"Jul 14, 2025",,CharlonTank,https://github.com/anthropics/claude-code/issues/3473,Allow changing working directory during active Claude session to work across multiple projects flexibly.
3505,[BUG] Bash commands always timeout after 2 minutes despite successful completion,open,"Jul 14, 2025",,gaolbreaker,https://github.com/anthropics/claude-code/issues/3505,Bash commands timeout after 2 minutes despite successful completion; issue appears related to shell session cleanup.
3513,Edit and MultiEdit tools fail with persistent 'File has been modified since read' errors,open,"Jul 15, 2025",,panyaoyu,https://github.com/anthropics/claude-code/issues/3513,"Edit and MultiEdit tools fail with persistent ""File has been modified since read"" errors, blocking file updates."
3514,PreToolUse hooks with preventContinuation:true are not blocking tool execution,open,"Jul 15, 2025",,cworsnup13,https://github.com/anthropics/claude-code/issues/3514,PreToolUse hooks with preventContinuation:true fail to block tool execution despite correct parsing of the hook response.
3537,[BUG] No postCompact hook,open,"Jul 15, 2025",,outdooricon,https://github.com/anthropics/claude-code/issues/3537,User requests postCompact hook to save data to graphiti and read Claude's markdown file after compacting context.
3662,[BUG] Custom slash commands can't request the user's permission to execute bash scripts,open,"Jul 17, 2025",,TimHolahan,https://github.com/anthropics/claude-code/issues/3662,Custom slash commands cannot request user permission before executing bash scripts as documented.
3699,Bug Report all messages must have non-empty content except for the optional final assistant message,open,"Jul 17, 2025",,jiwoo-dev,https://github.com/anthropics/claude-code/issues/3699,User reports 400 error: message content validation failing when messages should have non-empty content except optional final assistant message.
3961,Unicode Input Handling Fails for Vietnamese Characters,open,"Jul 19, 2025",,nhungbeo,https://github.com/anthropics/claude-code/issues/3961,Vietnamese character input causes application failure on Windows Terminal 1.0.56.
3989,[BUG]  CLI Crashes with posix_spawn EAGAIN Error Due to Recursive pgrep Calls,open,"Jul 19, 2025",,hamidzr,https://github.com/anthropics/claude-code/issues/3989,CLI crashes with posix_spawn EAGAIN error caused by recursive pgrep calls consuming system resources.
4053,[BUG] SSL certificate configuration don't work with web page `Fetch` (but works with MCP),open,"Jul 21, 2025",,saiya,https://github.com/anthropics/claude-code/issues/4053,SSL certificate configuration works for MCP but fails when Claude Code attempts to fetch web pages via browser Fetch API.
4083,Image Processing Failure: API Rejects Unrelated Context Image,open,"Jul 21, 2025",,JVmano,https://github.com/anthropics/claude-code/issues/4083,"API rejects unrelated context images with 400 error, causing thread to loop and freeze indefinitely."
4118,Capture MCP Tools Changed notifications - notifications/prompts/list_changed notifications,open,"Jul 22, 2025",,AchintyaAshok,https://github.com/anthropics/claude-code/issues/4118,Request to implement MCP tools_changed notification handling to auto-refresh Claude's tool list when server notifies of changes.
4270,Ctrl+Alt+K Shortcut Fails to Insert Selected Code into Claude Terminal,open,"Jul 24, 2025",,Juan-Cruz-Mezzopeva,https://github.com/anthropics/claude-code/issues/4270,Ctrl+Alt+K shortcut fails to insert selected VS Code into Claude terminal without code reference.
4274,"Feature Request: Enhance Hooks with Integrated Types (MCP Tool, Inline Script, API Call)",open,"Jul 24, 2025",,coygeek,https://github.com/anthropics/claude-code/issues/4274,"Feature request to extend Hooks beyond command type to support MCP Tools, inline scripts, and API calls for greater flexibility."
4276,Feature Request: Extend Environment Variable Expansion to `settings.json` files,open,"Jul 24, 2025",,coygeek,https://github.com/anthropics/claude-code/issues/4276,Request to expand environment variable expansion support to `settings.json` files for managing secrets and environment-specific configurations securely.
4287,Ignore User Configuration: Co-Authored-By Lines Added Despite `includeCoAuthoredBy: false`,open,"Jul 24, 2025",,DigitalCyberSoft,https://github.com/anthropics/claude-code/issues/4287,Co-Authored-By lines appear in commits despite `includeCoAuthoredBy: false` configuration setting being enabled.
4297,[BUG] API Error (Connection error.),open,"Jul 24, 2025",,omayhemo,https://github.com/anthropics/claude-code/issues/4297,API connection errors occurring on Windows 11 with Claude CLI when making requests.
4351,JSON Parsing Error in /agents Feature When Creating Custom Agent,open,"Jul 25, 2025",,mjstelly,https://github.com/anthropics/claude-code/issues/4351,JSON parser fails when creating custom agents in /agents feature with unescaped control characters in description fields.
4380,Feature: Per-agent MCP tool filtering to improve agent focus and accuracy,open,"Jul 25, 2025",,stanislavlysenko0912,https://github.com/anthropics/claude-code/issues/4380,"Enable per-agent MCP tool filtering to reduce decision paralysis and allow specialized, focused agents."
4429,:rocket: Introducing tweakcc - customize your Claude Code installation,open,"Jul 25, 2025",,bl-ue,https://github.com/anthropics/claude-code/issues/4429,"tweakcc enables customizing Claude Code's UI colors, thinking format, and spinner animations through an interactive CLI tool."
4462,[BUG] Sub-agents claim successful file creation but files don't persist to filesystem,open,"Jul 25, 2025",,RGCsAGupta,https://github.com/anthropics/claude-code/issues/4462,"Sub-agents report successful file creation but files don't actually persist to filesystem, causing inconsistency."
4464,"""System reminder"" content injection consuming excessive context tokens",open,"Jul 25, 2025",,ja-onereach,https://github.com/anthropics/claude-code/issues/4464,"Claude Code's ""system reminder"" auto-injects file contents unexpectedly, consuming excessive context tokens and shortening sessions."
4475,Feature Request: Add a formal `description` field for comments in `settings.json`,open,"Jul 26, 2025",,coygeek,https://github.com/anthropics/claude-code/issues/4475,Request to add formal `description` field support in `settings.json` for documenting configuration without relying on unofficial comment keys.
4476,Implement Agent-Scoped MCP Configuration with Strict Isolation,open,"Jul 26, 2025",,btebbutt,https://github.com/anthropics/claude-code/issues/4476,Implement agent-scoped MCP configuration enabling subagents to use private MCP servers invisible and inaccessible to parent agents.
4540,[BUG] Missing `scope` Parameter in Dynamic Client Registration and Authorization Requests,open,"Jul 27, 2025",,vobornik,https://github.com/anthropics/claude-code/issues/4540,Claude Code client fails to include required `scope` parameter in OAuth2 dynamic client registration and authorization requests.
4556,Feature request: Add codebase indexing,open,"Jul 27, 2025",,nicobailon,https://github.com/anthropics/claude-code/issues/4556,User requests codebase indexing feature to reduce token consumption during code review and search operations.
4733,Persistent Warning When Using API Key Directly,open,"Jul 29, 2025",,ratmav,https://github.com/anthropics/claude-code/issues/4733,User reports persistent warning message appearing when using API key directly with Claude CLI v1.0.62 on macOS.
4749,Claude Code Architecture Mismatch on Apple Silicon Macs,open,"Jul 30, 2025",,chatgpt-copypasta,https://github.com/anthropics/claude-code/issues/4749,"Claude Code runs under Rosetta 2 on Apple Silicon, causing architecture mismatches and build failures instead of native ARM64 execution."
4765,[BUG],open,"Jul 30, 2025",,nigels-code,https://github.com/anthropics/claude-code/issues/4765,User wants terminal title to display current working directory but Claude CLI overrides it despite disabling title updates in settings.
4800,Feature Request: Add extends field to settings.json for shared configuration inheritance,open,"Jul 30, 2025",,arathald,https://github.com/anthropics/claude-code/issues/4800,"Allow inheriting shared Claude configurations via `extends` field in settings.json, similar to ESLint and TSConfig."
4805,[BUG] ESC Key Causes Complete Terminal Freeze in Claude Code,open,"Jul 30, 2025",,pm0code,https://github.com/anthropics/claude-code/issues/4805,"ESC key press freezes entire terminal during Claude Code sessions, requiring forced termination and losing all work."
4851,[BUG] Terminal Scrollback Buffer Rewind Lag in Claude Code + Tmux + Visual Studio Code After Extended Use,open,"Jul 31, 2025",,vmitro,https://github.com/anthropics/claude-code/issues/4851,Terminal scrollback buffer causes lag in Claude Code + Tmux + VS Code after extended use sessions.
4928,[BUG] file named nul created on windows,open,"Aug 01, 2025",,rweijnen,https://github.com/anthropics/claude-code/issues/4928,"Claude CLI on Windows incorrectly creates a file named ""nul"" due to improper null device redirection handling."
4930,[BUG]: CLI error with system prompt and doesn't recognize permissions,open,"Aug 01, 2025",,nsheff,https://github.com/anthropics/claude-code/issues/4930,CLI fails to recognize `--system-prompt` as valid input when using `-p` flag; documentation missing from help.
4937,Feature Request: Add model selection support for custom commands (similar to subagents),open,"Aug 01, 2025",,cgaaf,https://github.com/anthropics/claude-code/issues/4937,"Allow custom commands to specify which Claude model executes them, matching subagent model selection functionality."
4953,Claude Code Memory Leak - Process Grows to 120+ GB RAM and Gets OOM Killed,open,"Aug 01, 2025",,chatgpt-copypasta,https://github.com/anthropics/claude-code/issues/4953,Claude Code has a critical memory leak causing process to grow beyond 120GB RAM within 30-60 minutes of active use.
