number,title,state,created_at,closed_at,author,url,ai_summary
26951,"[BUG] Cowork macOS - Plugin install fails with HTTP 404, plugins.claude.ai does not resolve",open,"Feb 19, 2026",,larrylim,https://github.com/anthropics/claude-code/issues/26951,"Cowork macOS - Plugin install fails with HTTP 404, plugins.claude.ai does not resolve"
26950,"Effort level cannot be inspected or reliably controlled, making Opus 4.6 risky to use",open,"Feb 19, 2026",,kojiromike,https://github.com/anthropics/claude-code/issues/26950,"Effort level cannot be inspected or reliably controlled, making Opus 4.6 risky to use"
26949,Status bar: configurable threshold and color for weekly usage warning,open,"Feb 19, 2026",,dlepold,https://github.com/anthropics/claude-code/issues/26949,Status bar: configurable threshold and color for weekly usage warning
26948,[BUG] Approved plugin install fails with HTTP 404 from Browse Plugins screen,open,"Feb 19, 2026",,HermesTec,https://github.com/anthropics/claude-code/issues/26948,Approved plugin install fails with HTTP 404 from Browse Plugins screen
26947,[BUG] Claude doesnt start after WSL stopped running,open,"Feb 19, 2026",,tejom,https://github.com/anthropics/claude-code/issues/26947,Claude doesnt start after WSL stopped running. Preflight Checklist - [x] I have searched existing issues and this hasn't been reported yet - [x] This is a single bug report (please file separate reports for different bugs) - [x] I am using the lat
26946,Bash tool fails when Windows username contains a single quote,open,"Feb 19, 2026",,huakoh,https://github.com/anthropics/claude-code/issues/26946,Bash tool fails when Windows username contains a single quote
26945,"[BUG] claude-code-vm downloads Linux ARM binary on macOS, breaking Claude Code in Desktop",open,"Feb 19, 2026",,Cavemantraining,https://github.com/anthropics/claude-code/issues/26945,"claude-code-vm downloads Linux ARM binary on macOS, breaking Claude Code in Desktop"
26944,CLAUDE.md parent directory traversal is a security/privacy concern,open,"Feb 19, 2026",,rdewaele,https://github.com/anthropics/claude-code/issues/26944,CLAUDE.md parent directory traversal is a security/privacy concern
26943,"Claude doesn't read CLAUDE.md automatically — that's a hooks problem, fixable",open,"Feb 19, 2026",,MauveAvenger,https://github.com/anthropics/claude-code/issues/26943,"Claude doesn't read CLAUDE.md automatically — that's a hooks problem, fixable"
26942,engines field declares node >=18.0.0 but code requires Node.js 20+ (Symbol.dispose),open,"Feb 19, 2026",,svetlanaunich,https://github.com/anthropics/claude-code/issues/26942,engines field declares node >=18.0.0 but code requires Node.js 20+ (Symbol.dispose)
26938,/insights: consider stronger model or dedup against existing CLAUDE.md,open,"Feb 19, 2026",,clickclackclark,https://github.com/anthropics/claude-code/issues/26938,/insights: consider stronger model or dedup against existing CLAUDE.md
26937,[Feature Request] Add API balance endpoint to retrieve account balance information,open,"Feb 19, 2026",,notio,https://github.com/anthropics/claude-code/issues/26937,[Feature Request] Add API balance endpoint to retrieve account balance information
26934,[Bug] Excessive token consumption without output generation,open,"Feb 19, 2026",,nipunbatra,https://github.com/anthropics/claude-code/issues/26934,"[Bug] Excessive token consumption without output generation. 8 mins in and 6k tokens, no output yet Info - Platform: darwin - Terminal: Apple_Terminal - Version: 2"
26933,"[BUG] `@` file picker autocompletes a partial path when using `Tab`, instead of the full path",open,"Feb 19, 2026",,mpsijm,https://github.com/anthropics/claude-code/issues/26933,"`@` file picker autocompletes a partial path when using `Tab`, instead of the full path"
26932,GitLab Merge Request support for code-review plugin,open,"Feb 19, 2026",,jangel97,https://github.com/anthropics/claude-code/issues/26932,GitLab Merge Request support for code-review plugin. Preflight Checklist - [x] I have searched existing requests and this feature hasn't been requested yet - [x] This is a single feature request (not multiple features) Problem Statement The code-review
26931,[BUG] wildcard permission should not allow unrelated commands,open,"Feb 19, 2026",,rolznz,https://github.com/anthropics/claude-code/issues/26931,wildcard permission should not allow unrelated commands. Preflight Checklist - [x] I have searched existing issues and this hasn't been reported yet - [x] This is a single bug report (please file separate reports for different bugs) - [x] I am using the lat
26928,"[BUG] getting prompt is too long after just 130 messages,",open,"Feb 19, 2026",,somdip-2310,https://github.com/anthropics/claude-code/issues/26928,"getting prompt is too long after just 130 messages,. Preflight Checklist - [x] I have searched existing issues and this hasn't been reported yet - [x] This is a single bug report (please file separate reports for different bugs) - [x] I am using the lat"
26924,[BUG] Claude Desktop crashes (Fatal error boundary) when opening sessions containing C# code diffs,open,"Feb 19, 2026",,Portekoi,https://github.com/anthropics/claude-code/issues/26924,Claude Desktop crashes (Fatal error boundary) when opening sessions containing C# code diffs
26920,[FEATURE] Status line token arrows are counterintuitive — suggest adding descriptive labels,open,"Feb 19, 2026",,dandagow3t,https://github.com/anthropics/claude-code/issues/26920,Status line token arrows are counterintuitive — suggest adding descriptive labels
26919,"[FEATURE] Allow file attachments (txt, md, py, json, etc.) in Claude Code mobile app",open,"Feb 19, 2026",,cp-data,https://github.com/anthropics/claude-code/issues/26919,"Allow file attachments (txt, md, py, json, etc.) in Claude Code mobile app"
26916,"Model repeatedly fails to fix issue, ignores user guidance, never verifies own work",open,"Feb 19, 2026",,ilanoh,https://github.com/anthropics/claude-code/issues/26916,"Model repeatedly fails to fix issue, ignores user guidance, never verifies own work"
26915,[FEATURE] Disable the flowery words in the UI,open,"Feb 19, 2026",,kking124,https://github.com/anthropics/claude-code/issues/26915,Disable the flowery words in the UI. Preflight Checklist - [x] I have searched existing requests and this feature hasn't been requested yet - [x] This is a single feature request (not multiple features) Problem Statement I do not want th
26913,Agent executed destructive database command (alembic downgrade base) without user confirmation — data loss,open,"Feb 19, 2026",,javimar,https://github.com/anthropics/claude-code/issues/26913,Agent executed destructive database command (alembic downgrade base) without user confirmation — data loss
26912,[BUG] Cowork Windows 11 Pro: Ghost NAT blocks API connectivity — NetNat rule never created by CoworkVMService,open,"Feb 19, 2026",,RPS500,https://github.com/anthropics/claude-code/issues/26912,Cowork Windows 11 Pro: Ghost NAT blocks API connectivity — NetNat rule never created by CoworkVMService
26911,"[BUG] Task .output files in /private/tmp/claude-{uid}/ never cleaned — 537 GB from single session, recurring 6+ times in 30 days",open,"Feb 19, 2026",,samnurmi,https://github.com/anthropics/claude-code/issues/26911,"Task .output files in /private/tmp/claude-{uid}/ never cleaned — 537 GB from single session, recurring 6+ times in 30 days"
26908,[BUG] VS Code Extension: Remote/Web conversations from claude.ai/code not syncing to extension,open,"Feb 19, 2026",,RicardoNakano,https://github.com/anthropics/claude-code/issues/26908,VS Code Extension: Remote/Web conversations from claude.ai/code not syncing to extension
26906,[BUG] Fully-qualified plugin command namespace ignored — local skill executed instead,open,"Feb 19, 2026",,elliottgaryusa,https://github.com/anthropics/claude-code/issues/26906,Fully-qualified plugin command namespace ignored — local skill executed instead
26905,[Bug] Web session not created with & prefix operator,open,"Feb 19, 2026",,nakagam3,https://github.com/anthropics/claude-code/issues/26905,"[Bug] Web session not created with & prefix operator. - & prefix で web session が作成されない - claude --remote は正常動作する - エラーメッセージなし - Team plan, GitHub連携済み, v2"
26904,[FEATURE] Add /delete command to delete current session,open,"Feb 19, 2026",,rstar327,https://github.com/anthropics/claude-code/issues/26904,"Add /delete command to delete current session. Preflight Checklist - [x] I have searched existing requests and this feature hasn't been requested yet - [x] This is a single feature request (not multiple features) Problem Statement Currently, there"
26903,[BUG] Claude Code is broken.,open,"Feb 19, 2026",,MarkLFT,https://github.com/anthropics/claude-code/issues/26903,Claude Code is broken.. Preflight Checklist - [x] I have searched existing issues and this hasn't been reported yet - [x] This is a single bug report (please file separate reports for different bugs) - [x] I am using the lat
26901,[BUG] Image paste from clipboard (Cmd+V) no longer works,open,"Feb 19, 2026",,Gr0mar,https://github.com/anthropics/claude-code/issues/26901,Image paste from clipboard (Cmd+V) no longer works. Preflight Checklist - [x] I have searched existing issues and this hasn't been reported yet - [x] This is a single bug report (please file separate reports for different bugs) - [x] I am using the lat
26899,"[BUG] Double SessionStart:compact + ""Prompt is too long"" on session initialization race",open,"Feb 19, 2026",,JAE0Y2N,https://github.com/anthropics/claude-code/issues/26899,"Double SessionStart:compact + ""Prompt is too long"" on session initialization race"
26898,[BUG] Stray Unicode characters rendered in terminal output,open,"Feb 19, 2026",,adamsilver,https://github.com/anthropics/claude-code/issues/26898,Stray Unicode characters rendered in terminal output. Preflight Checklist - [x] I have searched existing issues and this hasn't been reported yet - [x] This is a single bug report (please file separate reports for different bugs) - [x] I am using the lat
26897,NODE_EXTRA_CA_CERTS Environment variable not working,open,"Feb 19, 2026",,georgggg,https://github.com/anthropics/claude-code/issues/26897,NODE_EXTRA_CA_CERTS Environment variable not working. Preflight Checklist - [x] I have searched existing issues and this hasn't been reported yet - [x] This is a single bug report (please file separate reports for different bugs) - [x] I am using the lat
26896,Plan output text renders in black/unreadable color on dark terminal backgrounds,open,"Feb 19, 2026",,alons-oasis,https://github.com/anthropics/claude-code/issues/26896,Plan output text renders in black/unreadable color on dark terminal backgrounds
26894,"Opus 4.6 regression: LLM guesses instead of using tools, wastes 4 round trips on trivially answerable question",open,"Feb 19, 2026",,ilanoh,https://github.com/anthropics/claude-code/issues/26894,"Opus 4.6 regression: LLM guesses instead of using tools, wastes 4 round trips on trivially answerable question"
26893,Cowork plugin install fails with HTTP 404: Failed to fetch browsable plugins,open,"Feb 19, 2026",,pproencaths,https://github.com/anthropics/claude-code/issues/26893,Cowork plugin install fails with HTTP 404: Failed to fetch browsable plugins
26892,Cowork tasks complete in VM but never render — local_ session ID rejected by UUID validation,open,"Feb 19, 2026",,igweb5,https://github.com/anthropics/claude-code/issues/26892,Cowork tasks complete in VM but never render — local_ session ID rejected by UUID validation
26891,[Bug] Cowork VM Kernel Panic in xt_net_init during bwrap Network Namespace Creation,open,"Feb 19, 2026",,pproencaths,https://github.com/anthropics/claude-code/issues/26891,[Bug] Cowork VM Kernel Panic in xt_net_init during bwrap Network Namespace Creation
26890,[Feature Request] Auto-save conversation to project-local markdown files before compaction,open,"Feb 19, 2026",,0xebjc,https://github.com/anthropics/claude-code/issues/26890,[Feature Request] Auto-save conversation to project-local markdown files before compaction
26889,[Feature Request] Main prompt remains interactive while agents work in background,open,"Feb 19, 2026",,0xebjc,https://github.com/anthropics/claude-code/issues/26889,[Feature Request] Main prompt remains interactive while agents work in background
26886,[BUG] Cowork Windows — Response not visible until manual page refresh (Ctrl+R),open,"Feb 19, 2026",,Der-Mischa-mit-sch,https://github.com/anthropics/claude-code/issues/26886,Cowork Windows — Response not visible until manual page refresh (Ctrl+R)
26885,"[BUG] AskUserQuestion: Options disappear after selecting ""Chat about it""",open,"Feb 19, 2026",,azekt,https://github.com/anthropics/claude-code/issues/26885,"AskUserQuestion: Options disappear after selecting ""Chat about it"""
26883,"[BUG] Arch update of VSCode now yields Node version error, claude unusable",open,"Feb 19, 2026",,soypat,https://github.com/anthropics/claude-code/issues/26883,"Arch update of VSCode now yields Node version error, claude unusable"
26882,WebFetch still freezes session on hanging URLs (fix from #24684 not effective),open,"Feb 19, 2026",,ilanoh,https://github.com/anthropics/claude-code/issues/26882,WebFetch still freezes session on hanging URLs (fix from #24684 not effective)
26881,[BUG] [Desktop App macOS / Cowork] Responses do not appear until user sends another message or navigates away and back,open,"Feb 19, 2026",,LuisTorregrosa,https://github.com/anthropics/claude-code/issues/26881,[Desktop App macOS / Cowork] Responses do not appear until user sends another message or navigates away and back
26880,"[BUG] install.ps1 prints ""✅ Installation complete!"" even when claude.exe install fails in Windows Powershell -",open,"Feb 19, 2026",,dronewai,https://github.com/anthropics/claude-code/issues/26880,"install.ps1 prints ""✅ Installation complete!"" even when claude.exe install fails in Windows Powershell -"
26878,[BUG] Cowork: final assistant message invisible until user sends next prompt,open,"Feb 19, 2026",,Projazzbone,https://github.com/anthropics/claude-code/issues/26878,Cowork: final assistant message invisible until user sends next prompt
26877,[BUG],open,"Feb 19, 2026",,Shalevppp,https://github.com/anthropics/claude-code/issues/26877,Preflight Checklist - [x] I have searched existing issues and this hasn't been reported yet - [x] This is a single bug report (please file separate reports for different bugs) - [x] I am using the lat
26876,[BUG] [macOS] Cowork responses generated but not rendered until UI is manually triggered,open,"Feb 19, 2026",,andrewmiles,https://github.com/anthropics/claude-code/issues/26876,[macOS] Cowork responses generated but not rendered until UI is manually triggered
26875,[BUG] Session becomes unreachable when projectPath auto-updates mid-session (storage/index mismatch),open,"Feb 19, 2026",,MichaelC001,https://github.com/anthropics/claude-code/issues/26875,Session becomes unreachable when projectPath auto-updates mid-session (storage/index mismatch)
26874,[BUG]  Invalid OAuth Request - Unknown scope: user:sessions%,open,"Feb 19, 2026",,abukreev-dev,https://github.com/anthropics/claude-code/issues/26874,Invalid OAuth Request - Unknown scope: user:sessions%. Preflight Checklist - [x] I have searched existing issues and this hasn't been reported yet - [x] This is a single bug report (please file separate reports for different bugs) - [x] I am using the lat
26873,[BUG] Cowork fails on Windows 11 Home with Team plan: RPC error -1 - Plan9 mount failed: bad address,open,"Feb 19, 2026",,syuta0709,https://github.com/anthropics/claude-code/issues/26873,Cowork fails on Windows 11 Home with Team plan: RPC error -1 - Plan9 mount failed: bad address
26872,[Bug] `/mobile` command suggested but undocumented and missing from `/help`,open,"Feb 19, 2026",,cliveportman,https://github.com/anthropics/claude-code/issues/26872,[Bug] `/mobile` command suggested but undocumented and missing from `/help`
26870,[Bug] Anthropic API Error: Empty text content blocks in messages,open,"Feb 19, 2026",,PaoloDiBello,https://github.com/anthropics/claude-code/issues/26870,[Bug] Anthropic API Error: Empty text content blocks in messages
26869,[FEATURE] Stream thoughts word-by-word during task execution instead of displaying all at completion,open,"Feb 19, 2026",,Mr4Goosey,https://github.com/anthropics/claude-code/issues/26869,Stream thoughts word-by-word during task execution instead of displaying all at completion
26868,[BUG] Claude Code CLI `paths` handling in `.claude/rules/*.md`,open,"Feb 19, 2026",,TrueNine,https://github.com/anthropics/claude-code/issues/26868,Claude Code CLI `paths` handling in `.claude/rules/*.md`. Preflight Checklist - [x] I have searched existing issues and this hasn't been reported yet - [x] This is a single bug report (please file separate reports for different bugs) - [x] I am using the lat
26867,[Feature Request] Adaptive Self-Check Depth Based on Task Complexity and Predictive User Modeling,open,"Feb 19, 2026",,natu123,https://github.com/anthropics/claude-code/issues/26867,[Feature Request] Adaptive Self-Check Depth Based on Task Complexity and Predictive User Modeling
26865,[BUG] need to reauth every hour...,open,"Feb 19, 2026",,Dexus,https://github.com/anthropics/claude-code/issues/26865,need to reauth every hour.... Preflight Checklist - [x] I have searched existing issues and this hasn't been reported yet - [x] This is a single bug report (please file separate reports for different bugs) - [x] I am using the lat
26863,Feature request: cost cap / confirmation before external API calls,open,"Feb 19, 2026",,fieldjoshua,https://github.com/anthropics/claude-code/issues/26863,Feature request: cost cap / confirmation before external API calls
26857,[BUG] Output blocked by content filtering when generating ISO country code dictionary,open,"Feb 19, 2026",,partopronto,https://github.com/anthropics/claude-code/issues/26857,Output blocked by content filtering when generating ISO country code dictionary
26856,"[UX] /model picker always shows Opus as ""Default (recommended)"" regardless of configured model",open,"Feb 19, 2026",,zuharz,https://github.com/anthropics/claude-code/issues/26856,"[UX] /model picker always shows Opus as ""Default (recommended)"" regardless of configured model"
26855,[Feature Request] Add `installScopes` to plugin manifest to restrict installation scope,open,"Feb 19, 2026",,andrewconnell,https://github.com/anthropics/claude-code/issues/26855,[Feature Request] Add `installScopes` to plugin manifest to restrict installation scope
26853,Rate limit reset time displays wrong timezone offset after travel,open,"Feb 19, 2026",,NicMeg,https://github.com/anthropics/claude-code/issues/26853,Rate limit reset time displays wrong timezone offset after travel
26850,[BUG] Write tool creating new .md file permanently crashes session renderer (SyntaxHighlightedDiff infinite setState loop),open,"Feb 19, 2026",,DavidDavids,https://github.com/anthropics/claude-code/issues/26850,Write tool creating new .md file permanently crashes session renderer (SyntaxHighlightedDiff infinite setState loop)
26849,[BUG] Startup delay in Claude for VS Code when run in Terminal Mode,open,"Feb 19, 2026",,Rylon,https://github.com/anthropics/claude-code/issues/26849,Startup delay in Claude for VS Code when run in Terminal Mode
26848,[BUG] Claude systematically ignores CLAUDE.md instructions and exhibits superficial reasoning,open,"Feb 19, 2026",,swissgrammie,https://github.com/anthropics/claude-code/issues/26848,Claude systematically ignores CLAUDE.md instructions and exhibits superficial reasoning
26844,[Bug?] `defer_loading` in `.claude.json` mcpServers has no effect,open,"Feb 19, 2026",,ahnbu,https://github.com/anthropics/claude-code/issues/26844,[Bug?] `defer_loading` in `.claude.json` mcpServers has no effect
26842,"[BUG] [BUG] Cowork frontend kills every process immediately - conversation_uuid validation fails on all sessions (macOS 26, SDK 2.1.30-2.1.45)",open,"Feb 19, 2026",,GloomyDust,https://github.com/anthropics/claude-code/issues/26842,"[BUG] Cowork frontend kills every process immediately - conversation_uuid validation fails on all sessions (macOS 26, SDK 2.1.30-2.1.45)"
26841,Inline code color bleeds into adjacent Cyrillic characters,open,"Feb 19, 2026",,Milfgard,https://github.com/anthropics/claude-code/issues/26841,"Inline code color bleeds into adjacent Cyrillic characters. When using inline code (backtick formatting) in responses containing Cyrillic text, the blue color applied to inline code ""bleeds"" into adjacent characters"
26840,"I appreciate the feedback, but I need the actual bug report or issue details to generate a GitHub issue title. Could you please provide:

1. A description of the problem you encountered
2. Any error messages or unexpected behavior
3. Steps to reproduce the",open,"Feb 19, 2026",,LeithKetchell,https://github.com/anthropics/claude-code/issues/26840,"I appreciate the feedback, but I need the actual bug report or issue details to generate a GitHub issue title. Could you please provide: 1. A description of the problem you encountered 2. Any error messages or unexpected behavior 3. Steps to reproduce the"
26839,Claude Code CLI always selects API Usage Billing org instead of Max plan on second Mac,open,"Feb 19, 2026",,tomogouke-lang,https://github.com/anthropics/claude-code/issues/26839,Claude Code CLI always selects API Usage Billing org instead of Max plan on second Mac
26838,Feature request: allow disabling built-in skills,open,"Feb 19, 2026",,KTKR-DSK,https://github.com/anthropics/claude-code/issues/26838,"Feature request: allow disabling built-in skills. Problem There is currently no way to disable, hide, or uninstall built-in skills (e"
26836,[BUG] Diff/code block icons render as tofu (☒) in VS Code Extension chat panel due to CSP blocking base64 font,open,"Feb 19, 2026",,Ahnseok-Kim-InZOI,https://github.com/anthropics/claude-code/issues/26836,Diff/code block icons render as tofu (☒) in VS Code Extension chat panel due to CSP blocking base64 font
26835,Adding marketplace does not support private azure devops repositories,open,"Feb 19, 2026",,dingruoqian99,https://github.com/anthropics/claude-code/issues/26835,Adding marketplace does not support private azure devops repositories
26832,[FEATURE] Plan mode creates silent session split — no way to track or resume the original planning session,open,"Feb 19, 2026",,chris-kh-han,https://github.com/anthropics/claude-code/issues/26832,Plan mode creates silent session split — no way to track or resume the original planning session
26831,[Feature Request] Allow posting images (screenshots) to GitHub PR/Issue comments,open,"Feb 19, 2026",,k-jun,https://github.com/anthropics/claude-code/issues/26831,[Feature Request] Allow posting images (screenshots) to GitHub PR/Issue comments
26829,Add Ukrainian (uk) localization to docs — Russian (ru) exists but Ukrainian is missing,open,"Feb 19, 2026",,ivovchak,https://github.com/anthropics/claude-code/issues/26829,Add Ukrainian (uk) localization to docs — Russian (ru) exists but Ukrainian is missing
26825,"[BUG] Claude Pro account disabled without warning — minimal usage, no third-party access, no explanation",open,"Feb 19, 2026",,Pull2MAX,https://github.com/anthropics/claude-code/issues/26825,"Claude Pro account disabled without warning — minimal usage, no third-party access, no explanation"
26824,[BUG] RPC error: ensure user: useradd failed: exit status 127: useradd: error while loading shared libraries: libsemanage.so.2: cannot open shared object file: No such file or directory,open,"Feb 19, 2026",,JawnLegend,https://github.com/anthropics/claude-code/issues/26824,RPC error: ensure user: useradd failed: exit status 127: useradd: error while loading shared libraries: libsemanage.so.2: cannot open shared object file: No such file or directory
26822,[BUG]   Memory file loaded twice when $HOME is a symlink,open,"Feb 19, 2026",,degraw4,https://github.com/anthropics/claude-code/issues/26822,Memory file loaded twice when $HOME is a symlink. Preflight Checklist - [x] I have searched existing issues and this hasn't been reported yet - [x] This is a single bug report (please file separate reports for different bugs) - [x] I am using the lat
26820,Show /resume command alongside claude --resume on session exit,open,"Feb 19, 2026",,copyrightme,https://github.com/anthropics/claude-code/issues/26820,Show /resume command alongside claude --resume on session exit
26817,[Bug] Slash command autocomplete shows commands from uninstalled marketplace plugins,open,"Feb 19, 2026",,nofarius,https://github.com/anthropics/claude-code/issues/26817,[Bug] Slash command autocomplete shows commands from uninstalled marketplace plugins
26814,[Feature Request] Display per-interaction cost delta in /cost command,open,"Feb 19, 2026",,ViliusKraujutis,https://github.com/anthropics/claude-code/issues/26814,[Feature Request] Display per-interaction cost delta in /cost command
26809,[BUG] Claude Code Desktop SSH: Port directive from ~/.ssh/config ignored + unhelpful host verification error,open,"Feb 19, 2026",,barrettsward,https://github.com/anthropics/claude-code/issues/26809,Claude Code Desktop SSH: Port directive from ~/.ssh/config ignored + unhelpful host verification error
26807,[FEATURE] Enable skill-scoped auto-memory via skill front-matter,open,"Feb 19, 2026",,kiernan,https://github.com/anthropics/claude-code/issues/26807,Enable skill-scoped auto-memory via skill front-matter. Preflight Checklist - [x] I have searched existing requests and this feature hasn't been requested yet - [x] This is a single feature request (not multiple features) Problem Statement Learned lessons
26805,"[BUG] Cowork UI: Responses not rendering until user types; ""working through complex response"" hangs indefinitely",open,"Feb 19, 2026",,joshnava,https://github.com/anthropics/claude-code/issues/26805,"Cowork UI: Responses not rendering until user types; ""working through complex response"" hangs indefinitely"
26802,"Escape (cancel) does not kill in-flight parallel tool calls, causing repeated auto-resume",open,"Feb 19, 2026",,adonis-ife,https://github.com/anthropics/claude-code/issues/26802,"Escape (cancel) does not kill in-flight parallel tool calls, causing repeated auto-resume"
26800,[BUG] VSCode extension model picker does not show active [1m] extended context indicator,open,"Feb 19, 2026",,01-binary,https://github.com/anthropics/claude-code/issues/26800,VSCode extension model picker does not show active [1m] extended context indicator
26799,[Bug] Stop hooks failing due to Windows path normalization regression,open,"Feb 19, 2026",,KatayR,https://github.com/anthropics/claude-code/issues/26799,[Bug] Stop hooks failing due to Windows path normalization regression
26796,Bash tool prompts for permission on commands that should be auto-approved per settings,open,"Feb 19, 2026",,collinsauve,https://github.com/anthropics/claude-code/issues/26796,Bash tool prompts for permission on commands that should be auto-approved per settings
26794,VSCode: /clear sets SessionStart hook source to 'startup' instead of 'clear',open,"Feb 19, 2026",,toyhammered,https://github.com/anthropics/claude-code/issues/26794,VSCode: /clear sets SessionStart hook source to 'startup' instead of 'clear'
26789,"[FEATURE] Implement an ""Auto-continue once limit resets"" operation to /rate-limit-options",open,"Feb 19, 2026",,CuriosityQuantified,https://github.com/anthropics/claude-code/issues/26789,"Implement an ""Auto-continue once limit resets"" operation to /rate-limit-options"
26787,[BUG] FIX THE RATE LIMITING FFS.,open,"Feb 19, 2026",,Geargrindadmin,https://github.com/anthropics/claude-code/issues/26787,FIX THE RATE LIMITING FFS.. Preflight Checklist - [x] I have searched existing issues and this hasn't been reported yet - [x] This is a single bug report (please file separate reports for different bugs) - [x] I am using the lat
26786,[BUG] Claude Desktop craches at any signle session,open,"Feb 19, 2026",,emelyanowcom,https://github.com/anthropics/claude-code/issues/26786,Claude Desktop craches at any signle session. Preflight Checklist - [x] I have searched existing issues and this hasn't been reported yet - [x] This is a single bug report (please file separate reports for different bugs) - [x] I am using the lat
26783,Zen Mode,open,"Feb 19, 2026",,helloooproject,https://github.com/anthropics/claude-code/issues/26783,Zen Mode. Preflight Checklist - [x] I have searched existing requests and this feature hasn't been requested yet - [x] This is a single feature request (not multiple features) Problem Statement When debugging a
26777,Feature: Auto-switch accounts when rate limited,open,"Feb 19, 2026",,federicodeponte,https://github.com/anthropics/claude-code/issues/26777,"Feature: Auto-switch accounts when rate limited. Problem When using Claude Code with multiple accounts (personal, work, etc"
